name hindex
"Prateek Saxena" 20
"Pratik Sarkar" 1
"Qi Alfred Chen" 7
"Raluca Ada Popa" 22
"Reza Shokri" 20
"Rob Jansen" 11
"Roberto Perdisci" 29
"Roberto Trifiletti" 4
"Roger Iyengar" 1
"Roland H. C. Yap" 26
"Ruben Martins" 9
"Ruoyu Wang" 5
"Sajjad Arshad" 4
"Saman A. Zonouz" 15
"Sangho Lee" 13
"Sanjay Rawat" 12
"Sara Khalifa" 5
"Sarah Meiklejohn" 13
"Saswat Anand" 12
"Sebastian Zimmeck" 5
"Sencun Zhu" 42
"Seongmin Kim" 4
"Seung Geol Choi" 15
"Seungsoo Lee" 2
"Seungwon Shin" 15
"Seyed K. Fayaz" 7
"Shaanan Cohney" 3
"Shomir Wilson" 10
"Shruti Tople" 3
"Shweta Shinde" 5
"Simon Birnbach" 1
"Simon Eberz" 2
"Srinivasan Seshan" 62
"Stefan Mangard" 30
"Stefan Nürnberger" 8
"Stefan Savage" 73
"Stefano Tessaro" 16
"Stephen Crane" 7
"Steven M. Bellovin" 52
"Steven Murdoch" 21
"Stevens Le Blond" 10
"Taeho Jung" 11
"Taesoo Kim" 42
"Thomas Hobson" 4
"Thomas Schneider" 29
"Thomas Shrimpton" 21
"Thorsten Holz" 49
"Tianlong Yu" 6
"Tim Ruffing" 5
"Travis Mayberry" 9
"Trent Jaeger" 41
"Tudor Dumitras" 18
"Utkarsh Upadhyay" 4
"Vern Paxson" 87
"Victor van der Veen" 10
"Vinod Yegneswaran" 30
"Vipal Goyal" 25
"Virinchi Srinivas" 2
"Weitao Xu" 22
"Wenbo Yang" 4
"Wenke Lee" 79
"William Enck" 25
"William Robertson" 29
"Wilson Lian" 4
"Wonkyu Han" 3
"Xiangyu Zhang" 31
"XiaoFeng Wang" 31
"Xiaojiang Chen" 10
"Xiaorui Pan" 4
"Xinyang Ge" 4
"Xueqiang Wang" 5
"Yan Shoshitaishvili" 10
"Yanick Fratantonio" 13
"Yeongpil Cho" 3
"Yier Jin" 20
"Ying Cai" 21
"Yinqian Zhang" 11
"Yinzhi Cao" 12
"Yongdae Kim" 38
"Yosr Jarraya" 7
"Yossi Gilad" 9
"Yu Feng" 3
"Yuanyuan Zhang" 6
"Yubin Xia" 8
"Yunhan Jack Jia" 4
"Yunhao Liu" 61
"Yunheung Paek" 21
"Zakir Durumeric" 14
"Zane Ma" 3
"Zhanyong Tang" 4
"Zheng Wang" 13
"Zhenhua Li" 13
"Zhenkai Liang" 23
"Ziming Zhao" 10
"Ziqi Wang" 44
"Aaron Schulman" 12
"Abbas Razaghpanah" 5
"Aiko Pras" 29
"Alan Mislove" 33
"Alastair Beresford" 22
"Alice Hutchings" 7
"Alistair King" 7
"Amogh Dhamdhere" 20
"Anna Sperotto" 18
"Apurv Bhartia" 7
"Arash Molavi Kakhki" 5
"Arian Akhavan Niaki" 1
"Austin Murdock" 0
"Ben Y. Zhao" 58
"Benoit Donnet" 18
"Bimal Viswanath" 13
"Bo Chen" 7
"Bolun Wang" 5
"Brian Trammell" 17
"Bruce Maggs" 50
"Chadi Barakat" 32
"Chengyu Song" 14
"Chris Kanich" 14
"Cristel Pelsser" 13
"Cristina Nita-Rotaru" 31
"Dali Kaafar" 25
"Damon McCoy" 28
"Dan Pei" 27
"Daniel R. Thomas" 3
"Danny H. Lee" 3
"Dave Levin" 16
"Edo Liberty" 18
"Fabian Bustamante" 29
"Fangfan Li" 2
"Felipe Huici" 17
"Florian Streibelt" 1
"Frank Li" 9
"Geoffrey M. Voelker" 68
"Georg Carle" 27
"Haitao Zheng" 62
"Hamed Haddadi" 23
"Heather Zheng" 62
"Ilias Leontiadis" 22
"Janos Szurdi" 2
"Jean-Jacques Pansiot" 22
"Jeremy Blackburn" 12
"Johannes Krupp" 4
"John Heidemann" 68
"John Rula" 8
"Justin Thaler" 14
"Kameswari Chebrolu" 19
"Kensuke Fukuda" 20
"Marinho Barcellos" 16
"Mark Allman" 45
"Matteo Varvello" 25
"Mattijs Jonker" 4
"Moritz Steiner" 20
"Nektarios Leontiadis" 6
"Nicolas Kourtellis" 13
"Oliver Gasser" 5
"Panagiotis Papadopoulos" 3
"Partha Kanuparthy" 7
"Pascal Mérindol" 13
"Paul Barford" 41
"Periwinkle Doerfler" 0
"Peter Snyder" 3
"Philipp Richter" 7
"Pieter-Tjerk de Boer" 16
"Priya Mahadevan" 20
"Quirin Scheitle" 3
"Ralph Holz" 10
"Raluca Musaloiu-E." 7
"Ricardo de O. Schmidt" 9
"Richard Clayton" 23
"Rocky Chang" 21
"Roland Rijswijk-Deij" 7
"Romain Fontugne" 10
"Roya Ensafi" 9
"Samuel Jero" 3
"Savvas Zannettou" 1
"Sergio Pastrana" 8
"Shehroze Farooqi" 1
"Shichang Xu" 1
"Srikanth Krishnamurthy" 51
"Srikanth Sundaresan" 13
"Taejoong Chung" 7
"Ted Tsung-Te Lai" 6
"Theophilus Benson" 16
"Tristan Caulfield" 6
"Umar Iqbal" 0
"Wes Hardaker" 9
"Wouter de Vries" 2
"Xiaohong Deng" 4
"Yunhan Jia" 3
"Yves Vanaubel" 3
"Zhiyun Qian" 14
"Zubair Shafiq" 21
"Özgü Alay" 11
" Swarat Chaudhuri" 19
"Aditya Kanade" 9
"Ahmed Bouajjani" 42
"Ahmed Rezine" 16
"Alex Aiken" 66
"Alexandra Silva" 17
"Amal Ahmed" 23
"Amanieu d'Antras" 2
"Anders Møller" 31
"Andreas Haas" 6
"Andreas Zeller" 49
"Andrey Rybalchenko" 34
"Armando Solar-Lezama" 20
"Azadeh Farzan" 18
"Ben Liblit" 28
"Bo Joel Svensson" 8
"Bor-Yuh Evan Chang" 16
"Boris Köpf" 18
"Buddhika Chamith" 2
"Charles Sutton" 27
"Chengnian Sun" 11
"Chris Seaton" 9
"Christian Wimmer" 20
"Christos Dimoulas" 9
"Chung-Kil Hur" 14
"Cormac Flanagan" 47
"Cosmin Gorgovan" 2
"Cosmin Oancea" 12
"Dan Grossman" 35
"Dan Suciu" 75
"Daniel Patterson" 2
"David F. Bacon" 36
"Derek Dreyer" 25
"Dileep Kini" 6
"Dimitrios Vytiniotis" 20
"Dmytro Petrashko" 2
"Edward Aftandilian" 6
"Emery Berger" 27
"Emina Torlak" 16
"Eran Yahav" 33
"Erez Petrank" 37
"Franz Franchetti" 29
"Fritz Henglein" 23
"Gilles Duboscq" 7
"Goran Doychev" 4
"Greg Morrisett" 44
"Grigory Fedyukovich" 7
"Guy L. Steele Jr." 45
"Hans-J. Boehm" 30
"Hongseok Yang" 33
"James Bornholt" 7
"Jan Hoffmann" 14
"Jean-Baptiste Tristan" 6
"Jeff Huang" 11
"Jeffrey S. Foster" 34
"Jens Palsberg" 43
"Jingling Xue" 27
"Jitendra Padhye" 47
"John Regehr" 31
"Jonathan Lifflander" 10
"Junfeng Yang" 22
"Kapil Vaswani" 16
"Konstantin Weitz" 5
"Konstantinos Mamouras" 6
"Koushik Sen" 47
"Kun-Lung Wu" 49
"Loris D'Antoni" 15
"Lukas Holik" 13
"Lukas Stadler" 11
"Luke Dalessandro" 14
"Lélio Brun" 1
"Madan Musuvathi" 31
"Mahesh Viswanathan" 31
"Manuel Costa" 24
"Marco Pistoia" 24
"Margus Veanes" 26
"Martin Elsman" 12
"Martin Odersky" 49
"Martin Vechev" 27
"Matthew Parkinson" 25
"Matthias Grimmer" 6
"Mayur Naik" 25
"Michael Hicks" 42
"Michael Pradel" 13
"Mikel Luján" 22
"Milind Kulkarni" 18
"Mohamed Faouzi Atig" 17
"Mukund Raghotaman" 8
"Nuno P. Lopes" 10
"Olli Saarikivi" 4
"Onur Mutlu" 69
"Ori Lahav" 9
"P. Madhusudan" 39
"Parosh Aziz Abdulla" 39
"Paul Downen" 3
"Paul Gazzillo" 2
"Percy Liang" 31
"Peter Ohmann" 3
"Phi-Diep Bui" 0
"Philipp Ruemmer" 20
"Pierre-Evariste Dagand" 9
"Piyus Kedia" 1
"Qirun Zhang" 5
"Rahul Sharma" 13
"Rastislav Bodik" 38
"Ravi Chugh" 7
"Richard A. Eisenberg" 6
"Rishabh Singh" 15
"Ryan R. Newton" 17
"Sanjeev Khanna" 56
"Santosh Nagarakatte" 13
"Sasa Misailovic" 17
"Scott Schneider" 12
"Shan Lu" 29
"Sharon Shoham" 12
"Shumo Chu" 7
"Simon Peyton Jones" 68
"Sorin Lerner" 25
"Sriram Krishnamoorthy" 26
"Stefan K. Muller" 1
"Stephen Freund" 31
"Steve Zdancewic" 38
"Suresh Jagannathan" 35
"Swarat Chaudhuri" 20
"Tachio Terauchi" 14
"Thomas Reps" 73
"Thomas Wuerthinger" 14
"Tian Tan" 5
"Tim Harris" 40
"Timothy Bourke" 10
"Todd Millstein" 36
"Todd Mytkowicz" 18
"Troels Henriksen" 4
"Uday Bondhugula" 24
"Umang Mathur" 1
"Umut A. Acar" 26
"Vikash Mansinghka" 16
"Viktor Vafeiadis" 26
"Vivek Sarkar" 56
"William Mansky" 5
"Xavier Leroy" 46
"Xipeng Shen" 35
"Yaniv David" 2
"Yu David Liu" 13
"Yu-Fang Chen" 15
"Yuanfeng Peng" 2
"Yue Li" 7
"Yufei Ding" 4
"Zachary G. Ives" 34
"Zachary Kincaid" 8
"Zena M. Ariola" 21
"Zhendong Su" 40
"Zhong Shao" 36
"Zhoulai Fu" 3
"Abdullah Giray Yaglikci" 1
"Abhishek Chandra" 24
"Adam Wierman" 37
"Aditya Agrawal" 5
"Alexandre Proutiere" 36
"Anshul Gandhi" 16
"Ari B. Hayes" 2
"Aruna Balasubramanian" 16
"Augustin Chaintreau" 30
"Beichuan Zhang" 31
"Benny Van Houdt" 21
"Berksan Serbetci" 2
"Bhuvan Urgaonkar" 33
"Brandon Wang" 4
"Cathy Xia" 21
"Cheng-Zhong Xu" 44
"Chris Gniady" 16
"Chuan Wu" 32
"Dan Rubenstein" 45
"Daniel Figueiredo" 17
"Daniel Sadoc Menasché" 14
"David Formby" 3
"David Irwin" 31
"Debankur Mukherjee" 2
"Don Towsley" 122
"Donghyuk Lee" 20
"Eddy Zheng Zhang" 17
"Erich Nahum" 29
"Eytan Modiano" 52
"Florin Ciucu" 16
"Gennady Pekhimenko" 14
"George Kesidis" 35
"Gil Zussman" 28
"Giulia Fanti" 9
"Giuliana Franceschinis" 8
"Giuliano Casale" 25
"Hasan Hassan" 6
"Hung T. Nguyen" 4
"Jasper Goseling" 11
"Javad Nejati" 1
"Jens B. Schmitt" 30
"Jia Wang" 47
"Johan S. H. van Leeuwaarden" 21
"John C. S. Lui" 51
"Kang G. Shin" 100
"Kevin R. Chang" 9
"Konstantin Avrachenkov" 35
"Konstantinos Psounis" 35
"Laurent Massoulié" 50
"Lavanya Subramanian" 11
"Leana Golubchik" 31
"Lei Ying" 29
"Lingda Li" 2
"Lixin Gao" 49
"Long Gong" 13
"Longbo Huang" 16
"Mahmut T. Kandemir" 60
"Marc Lelarge" 24
"Maxime C. Cohen" 7
"Michela Meo" 42
"Mike O'Connor" 29
"Milan Vojnovic" 28
"Min Chen" 7
"Mingyan Liu" 37
"Mohammad Arjomand" 10
"Mor Harchol-Balter" 43
"Morteza Zadimoghaddam" 15
"Muhammad Wajahat" 0
"Murali Annavaram" 27
"My T. Thai" 32
"Myoungsoo Jung" 10
"Neda Nasiriani" 7
"Ness Shroff" 65
"Nicolas Gast" 15
"Nidhi Hegde" 16
"Niklas Carlsson" 19
"Niladrish Chatterjee" 10
"Paul Tune" 8
"Peter Van De Ven" 9
"Philippe Robert" 1
"Pierre Sens" 18
"Pramod Viswanath" 36
"Prashant Shenoy" 66
"Prateek Sharma" 6
"Rachata Ausavarungnirun" 12
"Raheem Beyah" 25
"Richard T. B. Ma" 16
"Roch Guerin" 57
"Samira Khan" 18
"Sandip Kundu" 33
"Saugata Ghose" 11
"Sem Borst" 39
"Shigang Chen" 43
"Sinong Wang" 5
"Souvik Dhara" 1
"Stefan Schmid" 30
"Steffen Bondorf" 5
"Steve Uhlig" 36
"Sébastien Monnet" 14
"Tam Vu" 15
"Thang N. Dinh" 16
"Thomas Bonald" 33
"Tri P. Nguyen" 2
"Urtzi Ayesta" 19
"Vahab Mirrokni" 42
"Vishal Misra" 44
"Vivek Seshadri" 17
"Xiaoen Ju" 5
"Xiaoye Li" 31
"Yanhua Li" 17
"Yi Lu" 20
"Yian Zhou" 6
"You Zhou" 2
"Zhi-Li Zhang" 60
"Zongpeng Li" 29
"Abhiram Balasubramanian" 1
"Adrian L. Shaw" 3
"Alexander Richardson" 2
"Alexandra Fedorova" 32
"Alexey Tumanov" 9
"Amitabha Roy" 10
"Andrew Baumann" 17
"Andrew Warfield" 26
"Anton Burtsev" 5
"Antonio Barbalace" 11
"Baptiste Lepers" 7
"Beom Heyn Kim" 4
"Bhushan Jain" 6
"Binoy Ravindran" 31
"Brent Welch" 30
"Chia-Che Tsai" 6
"Christel Baier" 39
"Christopher J. Rossbach" 15
"Chuanxiong Guo" 31
"Dan Boneh" 100
"Dan Tsafrir" 22
"David J. Wu" 10
"David Lie" 20
"Dejan Milojicic" 31
"Derek Murray" 14
"Ding Yuan" 13
"Donald E. Porter" 15
"Ehsan Totoni" 8
"Emmett Witchel" 32
"Geoffrey Ndu" 2
"Gilles Muller" 34
"Goetz Brasche" 6
"Haryadi Gunawi" 17
"Henry Corrigan-Gibbs" 8
"Holm Rauchfuss" 10
"Ion Stoica" 111
"Jean-Pierre Lozi" 4
"Jeffrey F. Lukman" 3
"Jeffrey Mogul" 64
"Johann Schleier-Smith" 5
"John Kubiatowicz" 51
"Julia Lawall" 34
"Julien Sopena" 9
"Kay Ousterhout" 5
"Krste Asanoviç" 50
"Leonid Ryzhyk" 10
"Lidong Zhou" 31
"Linh Nguyen" 1
"Margo Seltzer" 56
"Mark Silberstein" 14
"Martin Maas" 8
"Michael I. Jordan" 135
"Michael Kaminsky" 34
"Michael M. Swift" 41
"Michael Stumm" 36
"Michael Wei" 10
"Mooly Sagiv" 52
"Moritz Hoffman" 1
"Nadav Amit" 6
"Nicolas Palix" 11
"Paolo Faraboschi" 27
"Paul Grubbs" 4
"Peng Huang" 6
"Peter Druschel" 63
"Petros Maniatis" 36
"Philipp Moritz" 4
"Pierre Olivier" 5
"Rebecca Isaacs" 21
"Reto Achermann" 3
"Ricardo Koller" 11
"Richard Liaw" 2
"Riza O. Suminto" 2
"Robert Nishihara" 5
"Sang-Hoon Kim" 5
"Sascha Klüppelholz" 12
"Subramanya R. Dulloor" 8
"Sukwon Oh" 1
"Tanakorn Leesatapornwongsa" 5
"Thomas Ristenpart" 35
"Timothy Roscoe" 40
"Vijay Chidambaram" 8
"William Tu" 7
"Willy Zwaenepoel" 61
"Xu Zhao" 3
"Yingnong Dang" 20
"Youngjin Kwon" 5
"Yu Luo" 7
"Yuanyuan Zhou" 55
"Aaron Gember-Jacobson" 16
"Adam Chlipala" 20
"Akash Lal" 19
"Albert Kwon" 9
"Ali Ghodsi" 34
"Amirsaman Memaripour" 3
"Ananth Raghunathan" 9
"Andrea Bittau" 8
"Andrew A. Chien" 55
"Andrew Ferraiuolo" 5
"Andrew Putnam" 16
"Aniraj Kesavan" 1
"Ashish Vulimiri" 8
"Ashvin Goel" 29
"Austin T. Clements" 11
"Baris Kasikci" 8
"Ben Niu" 6
"Benjamin Recht" 45
"Bojie Li" 3
"Brad Karp" 25
"Branden Ghena" 3
"Bryan Ford" 36
"Bryan Parno" 29
"Byung-Gon Chun" 30
"Cheng Tan" 2
"Chinmay Kulkarni" 0
"Chris Rossbach" 15
"Dan Ports" 13
"David Lion" 2
"Derek Leung" 10
"Douglas B. Terry" 40
"Eddie Kohler" 47
"Edouard Bugnion" 23
"Eli Cortez" 7
"Ellis Michael" 1
"Filipe Manco" 4
"Florian Schmidt" 8
"Frans Kaashoek" 83
"George Prekas" 5
"Georgios Vlachos" 2
"Gernot Heiser" 46
"Guohan Lu" 17
"Haogang Chen" 10
"Henry Hoffmann" 31
"Hongqiang Harry Liu" 8
"Hongqiang Liu" 8
"Huaicheng Li" 1
"Idit Keidar" 39
"Ilya Mironov" 20
"Ittai Abraham" 35
"Jakob Eriksson" 19
"James Mickens" 16
"Jason Flinn" 37
"Jason Nieh" 41
"Jian Xu" 4
"Jiaxin Cao" 4
"Jin Tack Lim" 1
"Jitu Padhye" 51
"Johannes Gehrke" 68
"John Ousterhout" 54
"Jonathan Mace" 4
"Jose Mendes" 2
"Kaiyuan Zhang" 11
"Kaushik Veeraraghavan" 11
